subject,relation,object
covered,hyponym,bread
covered,hyponym,sheet
covered,hyponym,crown
covered,hyponym,carpet
covered,hyponym,concrete
covered,hyponym,gravel
covered,hyponym,canopy
covered,hyponym,drape
covered,hyponym,butter
covered,hyponym,roof
covered,hyponym,face
drape,synonym,curtain
drape,hypernym,blind
drape,hypernym,screen
past,hyponym,old
match,hypernym,light
dinner,hypernym,meal
iced,synonym,ice
iced,hypernym,cover
backpack,hypernym,bag
snowy,synonym,white
road,hyponym,roadway
road,hyponym,highway
road,hyponym,track
road,hyponym,line
one,hypernym,figure
around,synonym,about
sandwich,hyponym,hamburger
sandwich,hyponym,burger
sandwich,hyponym,hotdog
old,hypernym,past
swimsuit,hypernym,garment
swimsuit,hyponym,bikini
magazine,hyponym,glossy
vintage,hypernym,wine
soda,hypernym,salt
diced,hypernym,cut
newspaper,synonym,paper
newspaper,hyponym,sheet
vase,hypernym,jar
splashing,hypernym,painting
ocean,hypernym,water
ocean,hyponym,deep
gadget,synonym,appliance
gadget,hypernym,device
vegetable,hypernym,produce
vegetable,hyponym,celery
vegetable,hyponym,pumpkin
vegetable,hyponym,mushroom
vegetable,hyponym,onion
vegetable,hyponym,green
vegetable,hyponym,artichoke
vegetable,hyponym,cucumber
vegetable,hyponym,squash
hydrant,hypernym,faucet
cut,hypernym,part
herding,synonym,herd
herding,synonym,crowd
is,hyponym,stand
is,hyponym,contain
is,hyponym,number
is,hyponym,stick
is,hyponym,cover
is,hyponym,suit
is,hyponym,head
is,hyponym,figure
is,hyponym,cut
is,hyponym,clean
is,hyponym,hang
is,hyponym,end
is,hyponym,deck
pad,synonym,tablet
pad,hypernym,paper
pad,hyponym,notepad
written,synonym,pen
guiding,synonym,head
guiding,hypernym,control
guiding,hyponym,dock
guiding,hyponym,crab
guiding,hyponym,pilot
guiding,hyponym,tree
guiding,hyponym,park
guiding,hyponym,sheer
shaped,synonym,shape
crossing,hypernym,traveling
flame,synonym,fire
flame,hypernym,burning
dough,hyponym,pastry
milk,hypernym,beverage
milk,hypernym,drink
mirror,hyponym,glass
burnt,synonym,fire
baked,hyponym,fire
